,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,SrvDueceSide,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,RevTB,TBrev,rallyCount
7,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,8,0,0,1,0,15-15,TRUE,2,1,0,,2,1,AR,5 s2d#,,,5s2d#,,0,,5s2d#,,1,,1,0,5,,s2d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s2d,s2,s,1,2,1,30-15,0,1,0,0,0,0,,,1
9,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,10,0,0,1,0,30-30,TRUE,2,1,0,,2,1,AR,5 s28 f+3 b2 z3 b2 v2 r3x#,,,5s28f+3b2z3b2v2r3x#,,0,,5s28f+3b2z3b2v2r3x#,,1,,1,0,5,,s28f+3b2z3b2v2r3x#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s28f3b2z3b2v2r3x,s28f3b2z3b2v2r3,sfbzbvr,7,2,1,40-30,0,1,0,0,0,0,,,7
11,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,12,0,0,1,0,40-40,TRUE,2,1,0,,2,1,AR,4 f27 f+3 b1 v1*,,,4f27f+3b1v1*,,0,,4f27f+3b1v1*,,1,,1,0,4,,f27f+3b1v1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f27f3b1v1,f27f3b1v1,ffbv,4,2,1,AD-40,0,1,0,0,0,0,,,5
19,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,20,0,0,2,1,30-0,TRUE,4,1,0,,2,1,AR,5 s29 f1 f1n@,,,5s29f1f1n@,,0,,5s29f1f1n@,,1,,1,0,5,,s29f1f1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s29f1f1n,s29f1f1,sff,3,2,1,40-0,0,2,1,0,0,0,,,3
26,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,27,0,0,3,2,0-0,TRUE,6,1,0,,2,1,AR,4+ f#,,,4+f#,,1,,4f#,,1,,1,0,4,,f#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f,f,f,1,2,1,15-0,0,3,2,0,0,0,,,1
28,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,29,0,0,3,2,15-15,TRUE,6,1,0,,2,1,AR,4+*,,,4+*,,1,,4*,,1,,0,0,4+*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,30-15,0,3,2,0,0,0,,,1
30,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,31,0,0,3,2,40-15,TRUE,6,1,0,,2,1,AR,5 b2n#,,,5b2n#,,0,,5b2n#,,1,,1,0,5,,b2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b2n,b2,b,1,2,1,GM,2,3,3,0,0,0,,,1
37,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,38,0,0,4,3,0-0,TRUE,8,1,0,,2,1,AR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,15-0,0,4,3,0,0,0,,,1
39,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,40,0,0,4,3,15-15,TRUE,8,1,0,,2,1,AR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,30-15,0,4,3,0,0,0,,,1
41,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,42,0,0,4,3,40-15,TRUE,8,1,0,,2,1,AR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,GM,2,4,4,0,0,0,,,1
46,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,47,0,0,5,4,0-0,TRUE,10,1,0,,2,1,AR,6 s28 f1 f3n@,,,6s28f1f3n@,,0,,6s28f1f3n@,,1,,1,0,6,,s28f1f3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s28f1f3n,s28f1f3,sff,3,2,1,15-0,0,5,4,0,0,0,,,3
52,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,53,0,0,5,4,40-40,TRUE,10,1,0,,2,1,AR,5 s#,,,5s#,,0,,5s#,,1,,1,0,5,,s#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s,s,s,1,2,1,AD-40,0,5,4,0,0,0,,,1
61,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,62,0,0,6,5,15-15,TRUE,12,1,0,,2,1,AR,4 f2d#,,,4f2d#,,0,,4f2d#,,1,,1,0,4,,f2d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f2d,f2,f,1,2,1,30-15,0,6,5,0,0,0,,,1
76,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,77,1,0,0,0,0-0,TRUE,14,1,0,,2,1,AR,4 f2n#,,,4f2n#,,0,,4f2n#,,1,,1,0,4,,f2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f2n,f2,f,1,2,1,15-0,0,0,0,0,1,0,,,1
78,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,79,1,0,0,0,30-0,TRUE,14,1,0,,2,1,AR,4 f2d#,,,4f2d#,,0,,4f2d#,,1,,1,0,4,,f2d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f2d,f2,f,1,2,1,40-0,0,0,0,0,1,0,,,1
86,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,87,1,0,1,1,30-0,TRUE,16,1,0,,2,1,AR,6 s27 f-3*,,,6s27f-3*,,0,,6s27f-3*,,1,,1,0,6,,s27f-3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s27f3,s27f3,sf,2,2,1,40-0,0,1,1,0,1,0,,,3
94,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,95,1,0,2,2,0-0,TRUE,18,1,0,,2,1,AR,4 f38 b2 b-1*,,,4f38b2b-1*,,0,,4f38b2b-1*,,1,,1,0,4,,f38b2b-1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f38b2b1,f38b2b1,fbb,3,1,0,0-15,0,2,2,0,1,0,,,4
96,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,97,1,0,2,2,15-15,TRUE,18,1,0,,2,1,AR,4*,,,4*,,0,,4*,,1,,0,0,4*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,30-15,0,2,2,0,1,0,,,1
98,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,99,1,0,2,2,40-15,TRUE,18,1,0,,2,1,AR,4 f#,,,4f#,,0,,4f#,,1,,1,0,4,,f#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f,f,f,1,2,1,GM,2,2,3,0,1,0,,,1
103,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,104,1,0,3,3,0-0,TRUE,20,1,0,,2,1,AR,6 s#,,,6s#,,0,,6s#,,1,,1,0,6,,s#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s,s,s,1,2,1,15-0,0,3,3,0,1,0,,,1
105,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,106,1,0,3,3,15-15,TRUE,20,1,0,,2,1,AR,5 b3w#,,,5b3w#,,0,,5b3w#,,1,,1,0,5,,b3w#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b3w,b3,b,1,2,1,30-15,0,3,3,0,1,0,,,1
107,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,108,1,0,3,3,30-30,TRUE,20,1,0,,2,1,AR,6 b#,,,6b#,,0,,6b#,,1,,1,0,6,,b#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b,b,b,1,2,1,40-30,0,3,3,0,1,0,,,1
119,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,120,1,0,4,4,0-0,TRUE,22,1,0,,2,1,AR,5 s2n#,,,5s2n#,,0,,5s2n#,,1,,1,0,5,,s2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s2n,s2,s,1,2,1,15-0,0,4,4,0,1,0,,,1
121,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,122,1,0,4,4,30-0,TRUE,22,1,0,,2,1,AR,4 f28 f+3 s1n#,,,4f28f+3s1n#,,0,,4f28f+3s1n#,,1,,1,0,4,,f28f+3s1n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f28f3s1n,f28f3s1,ffs,3,2,1,40-0,0,4,4,0,1,0,,,3
129,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,130,1,0,5,5,0-0,TRUE,24,1,0,,2,1,AR,4 r27 f+1 f1 v3 s1d#,,,4r27f+1f1v3s1d#,,0,,4r27f+1f1v3s1d#,,1,,1,0,4,,r27f+1f1v3s1d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,r27f1f1v3s1d,r27f1f1v3s1,rffvs,5,2,1,15-0,0,5,5,0,1,0,,,5
131,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,132,1,0,5,5,15-15,TRUE,24,1,0,,2,1,AR,6 s38 b3 s3 b1 f1d@,,,6s38b3s3b1f1d@,,0,,6s38b3s3b1f1d@,,1,,1,0,6,,s38b3s3b1f1d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s38b3s3b1f1d,s38b3s3b1f1,sbsbf,5,2,1,30-15,0,5,5,0,1,0,,,5
133,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,134,1,0,5,5,30-30,TRUE,24,1,0,,2,1,AR,4*,,,4*,,0,,4*,,1,,0,0,4*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,40-30,0,5,5,0,1,0,,,1
135,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,136,1,0,5,5,40-40,TRUE,24,1,0,,2,1,AR,6 s#,,,6s#,,0,,6s#,,1,,1,0,6,,s#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s,s,s,1,2,1,AD-40,0,5,5,0,1,0,,,1
142,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,143,1,0,6,6,0-0,TRUE,26,1,1,1,2,1,AR,4 f39 b2 f1 f2 f2 f+3 s2 v3*,,,4f39b2f1f2f2f+3s2v3*,,0,,4f39b2f1f2f2f+3s2v3*,,1,,1,0,4,,f39b2f1f2f2f+3s2v3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f39b2f1f2f2f3s2v3,f39b2f1f2f2f3s2v3,fbffffsv,8,2,1,1-0,0,6,6,0,1,0,1,0-1,9
161,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,162,2,0,1,0,0-0,TRUE,28,1,0,,2,1,AR,4 r2n#,,,4r2n#,,0,,4r2n#,,1,,1,0,4,,r2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,r2n,r2,r,1,2,1,15-0,0,1,0,0,2,0,,,1
163,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,164,2,0,1,0,15-15,TRUE,28,1,0,,2,1,AR,4 f28 f+3 b2 z1 l2 o3*,,,4f28f+3b2z1l2o3*,,0,,4f28f+3b2z1l2o3*,,1,,1,0,4,,f28f+3b2z1l2o3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f28f3b2z1l2o3,f28f3b2z1l2o3,ffbzlo,6,2,1,30-15,0,1,0,0,2,0,,,7
165,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,166,2,0,1,0,30-30,TRUE,28,1,0,,2,1,AR,4 f3w#,,,4f3w#,,0,,4f3w#,,1,,1,0,4,,f3w#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f3w,f3,f,1,2,1,40-30,0,1,0,0,2,0,,,1
167,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,168,2,0,1,0,40-40,TRUE,28,1,0,,2,1,AR,5 s28 f+3*,,,5s28f+3*,,0,,5s28f+3*,,1,,1,0,5,,s28f+3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s28f3,s28f3,sf,2,2,1,AD-40,0,1,0,0,2,0,,,3
175,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,176,2,0,2,1,0-0,TRUE,30,1,0,,2,1,AR,c4 f28 s3 b1n@,,,4f28s3b1n@,,0,,4f28s3b1n@,,1,,1,0,4,,f28s3b1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f28s3b1n,f28s3b1,fsb,3,2,1,15-0,0,2,1,0,2,0,,,3
177,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,178,2,0,2,1,30-0,TRUE,30,1,0,,2,1,AR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,40-0,0,2,1,0,2,0,,,1
179,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,180,2,0,2,1,40-15,TRUE,30,1,0,,2,1,AR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,GM,2,2,2,0,2,0,,,1
186,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,187,2,0,3,2,15-15,TRUE,32,1,0,,2,1,AR,5 s27 f+2 b2 z2 f1 v1w#,,,5s27f+2b2z2f1v1w#,,0,,5s27f+2b2z2f1v1w#,,1,,1,0,5,,s27f+2b2z2f1v1w#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s27f2b2z2f1v1w,s27f2b2z2f1v1,sfbzfv,6,1,0,15-30,0,3,2,0,2,0,,,6
200,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,201,2,0,5,2,15-15,TRUE,34,1,0,,2,1,AR,4 f18 f3w#,,,4f18f3w#,,0,,4f18f3w#,,1,,1,0,4,,f18f3w#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f18f3w,f18f3,ff,2,1,0,15-30,0,5,2,0,2,0,,,2
202,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,203,2,0,5,2,15-40,TRUE,34,1,0,,2,1,AR,5 b;27 f-2*,,,5b;27f-2*,,0,,5b;27f-2*,,1,,1,0,5,,b;27f-2*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,b27f2,b27f2,bf,2,2,1,30-40,0,5,2,0,2,0,,,3
204,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,1,0,0,0,0,0-0,TRUE,1,1,0,,1,2,AR,6 b3w#,,,6b3w#,,0,,6b3w#,,1,,1,0,6,,b3w#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b3w,b3,b,1,1,1,15-0,0,0,0,0,0,0,,,1
206,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,3,0,0,0,0,15-15,TRUE,1,1,0,,1,2,AR,6 b2d#,,,6b2d#,,0,,6b2d#,,1,,1,0,6,,b2d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b2d,b2,b,1,1,1,30-15,0,0,0,0,0,0,,,1
208,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,5,0,0,0,0,30-30,TRUE,1,1,0,,1,2,AR,6 b38 f3 b1*,,,6b38f3b1*,,0,,6b38f3b1*,,1,,1,0,6,,b38f3b1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,b38f3b1,b38f3b1,bfb,3,2,0,30-40,0,0,0,0,0,0,,,4
220,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,17,0,0,0,2,40-15,TRUE,3,1,0,,1,2,AR,4 f1d#,,,4f1d#,,0,,4f1d#,,1,,1,0,4,,f1d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f1d,f1,f,1,1,1,GM,1,1,2,0,0,0,,,1
229,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,26,0,0,2,2,0-0,TRUE,5,1,0,,1,2,AR,5 f28 f2 f2 f3 b3 b3 s1 f1 f3*,,,5f28f2f2f3b3b3s1f1f3*,,0,,5f28f2f2f3b3b3s1f1f3*,,1,,1,0,5,,f28f2f2f3b3b3s1f1f3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f28f2f2f3b3b3s1f1f3,f28f2f2f3b3b3s1f1f3,ffffbbsff,9,2,0,0-15,0,2,2,0,0,0,,,10
231,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,28,0,0,2,2,0-30,TRUE,5,1,0,,1,2,AR,4 f2n#,,,4f2n#,,0,,4f2n#,,1,,1,0,4,,f2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f2n,f2,f,1,1,1,15-30,0,2,2,0,0,0,,,1
233,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,30,0,0,2,2,30-30,TRUE,5,1,0,,1,2,AR,4 f27 f3*,,,4f27f3*,,0,,4f27f3*,,1,,1,0,4,,f27f3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f27f3,f27f3,ff,2,1,1,40-30,0,2,2,0,0,0,,,3
243,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,40,0,0,3,3,30-0,TRUE,7,1,0,,1,2,AR,4+ f38*,,,4+f38*,,1,,4f38*,,1,,1,0,4,,f38*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f38,f38,f,1,2,0,30-15,0,3,3,0,0,0,,,2
245,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,42,0,0,3,3,30-30,TRUE,7,1,0,,1,2,AR,4 f27 f+-3 b1d#,,,4f27f+-3b1d#,,0,,4f27f+-3b1d#,,1,,1,0,4,,f27f+-3b1d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f27f3b1d,f27f3b1,ffb,3,1,1,40-30,0,3,3,0,0,0,,,3
251,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,48,0,0,4,4,0-0,TRUE,9,1,0,,1,2,AR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,1,1,15-0,0,4,4,0,0,0,,,1
253,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,50,0,0,4,4,15-15,TRUE,9,1,0,,1,2,AR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,1,1,30-15,0,4,4,0,0,0,,,1
261,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,58,0,1,0,0,0-0,TRUE,11,1,0,,1,2,AR,5 b18 f1 f1n#,,,5b18f1f1n#,,0,,5b18f1f1n#,,1,,1,0,5,,b18f1f1n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b18f1f1n,b18f1f1,bff,3,1,1,15-0,0,0,0,0,0,1,,,3
271,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,68,0,1,0,2,0-0,TRUE,13,1,0,,1,2,AR,4+ f17 f-2 i=3*,,,4+f17f-2i=3*,,1,,4f17f-2i=3*,,1,,1,0,4,,f17f-2i=3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f17f2i3,f17f2i3,ffi,3,2,0,0-15,0,0,2,0,0,1,,,4
273,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,70,0,1,0,2,0-30,TRUE,13,1,0,,1,2,AR,6 b28 f1 f1 v+-3 b1*,,,6b28f1f1v+-3b1*,,0,,6b28f1f1v+-3b1*,,1,,1,0,6,,b28f1f1v+-3b1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,b28f1f1v3b1,b28f1f1v3b1,bffvb,5,2,0,0-40,0,0,2,0,0,1,,,6
282,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,79,0,1,0,4,15-15,TRUE,15,1,0,,1,2,AR,4 f29 f2 s2 f1 f1 f3d#,,,4f29f2s2f1f1f3d#,,0,,4f29f2s2f1f1f3d#,,1,,1,0,4,,f29f2s2f1f1f3d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f29f2s2f1f1f3d,f29f2s2f1f1f3,ffsfff,6,2,0,15-30,0,0,4,0,0,1,,,6
284,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,81,0,1,0,4,15-40,TRUE,15,1,0,,1,2,AR,4 f29 b3 b1 f3+ b3*,,,4f29b3b1f3+b3*,,0,,4f29b3b1f3+b3*,,1,,1,0,4,,f29b3b1f3+b3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f29b3b1f3b3,f29b3b1f3b3,fbbfb,5,2,0,GM,2,0,5,0,0,1,,,6
291,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,88,0,2,0,0,0-0,TRUE,17,1,0,,1,2,AR,4 f29 f3 b3 f+-1 l2 o3*,,,4f29f3b3f+-1l2o3*,,0,,4f29f3b3f+-1l2o3*,,1,,1,0,4,,f29f3b3f+-1l2o3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f29f3b3f1l2o3,f29f3b3f1l2o3,ffbflo,6,1,1,15-0,0,0,0,0,0,2,,,7
304,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,101,0,2,0,2,30-0,TRUE,19,1,0,,1,2,AR,5 s28 f1 f1 f3+ s1*,,,5s28f1f1f3+s1*,,0,,5s28f1f1f3+s1*,,1,,1,0,5,,s28f1f1f3+s1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s28f1f1f3s1,s28f1f1f3s1,sfffs,5,2,0,30-15,0,0,2,0,0,2,,,6
306,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,103,0,2,0,2,40-15,TRUE,19,1,0,,1,2,AR,4 f1d#,,,4f1d#,,0,,4f1d#,,1,,1,0,4,,f1d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f1d,f1,f,1,1,1,GM,1,1,2,0,0,2,,,1
312,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,109,0,2,1,3,0-0,TRUE,21,1,0,,1,2,AR,4 f29*,,,4f29*,,0,,4f29*,,1,,1,0,4,,f29*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f29,f29,f,1,2,0,0-15,0,1,3,0,0,2,,,2
314,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,111,0,2,1,3,0-30,TRUE,21,1,0,,1,2,AR,6 b27 f+-2 f2 z-3*,,,6b27f+-2f2z-3*,,0,,6b27f+-2f2z-3*,,1,,1,0,6,,b27f+-2f2z-3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,b27f2f2z3,b27f2f2z3,bffz,4,1,1,15-30,0,1,3,0,0,2,,,5
316,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,113,0,2,1,3,15-40,TRUE,21,1,0,,1,2,AR,c4 f28 f3+ b3*,,,4f28f3+b3*,,0,,4f28f3+b3*,,1,,1,0,4,,f28f3+b3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f28f3b3,f28f3b3,ffb,3,2,0,GM,2,1,4,0,0,2,,,4
321,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,118,0,2,1,5,0-0,TRUE,23,1,0,,1,2,AR,c4 f29 b2 f+-3*,,,4f29b2f+-3*,,0,,4f29b2f+-3*,,1,,1,0,4,,f29b2f+-3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f29b2f3,f29b2f3,fbf,3,2,0,0-15,0,1,5,0,0,2,,,4
323,20070125-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,120,0,2,1,5,15-15,TRUE,23,1,0,,1,2,AR,4 f1w#,,,4f1w#,,0,,4f1w#,,1,,1,0,4,,f1w#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f1w,f1,f,1,1,1,30-15,0,1,5,0,0,2,,,1
340,20060826-M-US_Open-F-Roger_Federer-Andy_Roddick,9,0,0,1,0,0-30,TRUE,2,1,0,,2,1,AR,c6 s27 f+3d@,,,6s27f+3d@,,0,,6s27f3d@,,1,,1,0,6,,s27f3d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s27f3d,s27f3,sf,2,1,0,0-40,0,1,0,0,0,0,,,2
353,20060826-M-US_Open-F-Roger_Federer-Andy_Roddick,22,0,0,3,0,30-0,TRUE,4,1,0,,2,1,AR,4 f29 f+3 b1*,,,4f29f+3b1*,,0,,4f29f3b1*,,1,,1,0,4,,f29f3b1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f29f3b1,f29f3b1,ffb,3,1,0,30-15,0,3,0,0,0,0,,,4
355,20060826-M-US_Open-F-Roger_Federer-Andy_Roddick,24,0,0,3,0,30-30,TRUE,4,1,0,,2,1,AR,4 f28 b+3 b3 z1 f1*,,,4f28b+3b3z1f1*,,0,,4f28b3b3z1f1*,,1,,1,0,4,,f28b3b3z1f1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f28b3b3z1f1,f28b3b3z1f1,fbbzf,5,1,0,30-40,0,3,0,0,0,0,,,6
362,20060826-M-US_Open-F-Roger_Federer-Andy_Roddick,31,0,0,5,0,0-0,TRUE,6,1,0,,2,1,AR,4#,,,4#,,0,,4#,,1,,0,0,4#,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,15-0,0,5,0,0,0,0,,,1
364,20060826-M-US_Open-F-Roger_Federer-Andy_Roddick,33,0,0,5,0,30-0,TRUE,6,1,0,,2,1,AR,4#,,,4#,,0,,4#,,1,,0,0,4#,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,40-0,0,5,0,0,0,0,,,1
371,20060826-M-US_Open-F-Roger_Federer-Andy_Roddick,40,0,0,5,2,0-0,TRUE,8,1,0,,2,1,AR,4+ f v3n@,,,4+fv3n@,,1,,4fv3n@,,1,,1,0,4,,fv3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fv3n,fv3,fv,2,1,0,0-15,0,5,2,0,0,0,,,2
375,20060826-M-US_Open-F-Roger_Federer-Andy_Roddick,44,0,0,5,2,30-30,TRUE,8,1,0,,2,1,AR,4 r29 f+3 b3 z1 l2d#,,,4r29f+3b3z1l2d#,,0,,4r29f3b3z1l2d#,,1,,1,0,4,,r29f3b3z1l2d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,r29f3b3z1l2d,r29f3b3z1l2,rfbzl,5,2,1,40-30,0,5,2,0,0,0,,,5
383,20060826-M-US_Open-F-Roger_Federer-Andy_Roddick,52,1,0,0,1,0-0,TRUE,10,1,0,,2,1,AR,4 f28 f+1 l#,,,4f28f+1l#,,0,,4f28f1l#,,1,,1,0,4,,f28f1l#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f28f1l,f28f1l,ffl,3,2,1,15-0,0,0,1,0,1,0,,,3
387,20060826-M-US_Open-F-Roger_Federer-Andy_Roddick,56,1,0,0,1,30-30,TRUE,10,1,0,,2,1,AR,6 b38 b+3 b3 z3 m#,,,6b38b+3b3z3m#,,0,,6b38b3b3z3m#,,1,,1,0,6,,b38b3b3z3m#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b38b3b3z3m,b38b3b3z3m,bbbzm,5,2,1,40-30,0,0,1,0,1,0,,,5
